serial,title,language,info_url
SLUS-01022,ARMORINES - PROJECT SWARM,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01022.html
SLUS-00491,ARMY MEN 3D,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00491.html
SLUS-00913,ARMY MEN - AIR ATTACK,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00913.html
SLUS-01132,ARMY MEN - AIR ATTACK 2,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01132.html
SLUS-01330,ARMY MEN - GREEN ROGUE,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01330.html
SLUS-00914,ARMY MEN - SARGE'S HEROES,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00914.html
SLUS-01202,ARMY MEN - SARGE'S HEROES 2,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01202.html
SLUS-01435,ARMY MEN - TEAM ASSAULT,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01435.html
SLUS-01079,ARMY MEN - WORLD WAR,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01079.html
SLUS-01327,ARMY MEN - WORLD WAR - FINAL FRONT,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01327.html
SLUS-01203,"ARMY MEN - WORLD WAR - LAND, SEA & AIR",[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01203.html
SLUS-01090,ARTHUR! - READY TO RACE,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01090.html
SLUS-00713,ASSAULT RETRIBUTION,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00713.html
SCUS-94405,ASSAULT RIGS,[E],https://psxdatacenter.com/psx2/games/U/A/SCUS-94405.html
SLUS-00773,ASTEROIDS,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00773.html
SLUS-01427,ATARI ANNIVERSARY EDITION REDUX,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01427.html
SLUS-01137,ATV QUAD POWER RACING,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01137.html
SLUS-01545,ATV MANIA,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01545.html
SLUS-01572,ATV RACERS,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01572.html
SLUS-01456,AUSTIN POWERS PINBALL,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-01456.html
SLUS-00522,AUTO DESTRUCT,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00522.html
SLUS-00614,AZURE DREAMS,[E],https://psxdatacenter.com/psx2/games/U/A/SLUS-00614.html
SLUS-00659,BACKSTREET BILLIARDS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00659.html
SLUS-01094,BACKYARD SOCCER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01094.html
SLUS-01567,BALDIES,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01567.html
